0 1 0
0.5 0.606771 0.303385
1 0.368171 0.487471
1.5 0.223395 0.599169
2 0.13555 0.666943
2.5 0.0822477 0.708067
3 0.0499055 0.73302
3.5 0.0302812 0.748161
4 0.0183737 0.757347
4.5 0.0111487 0.762922
5 0.00676468 0.766304
5.5 0.00410461 0.768356
6 0.00249056 0.769602
6.5 0.0015112 0.770357
7 0.00091695 0.770816
7.5 0.000556379 0.771094
8 0.000337594 0.771263
8.5 0.000204842 0.771365
9 0.000124292 0.771427
9.5 7.5417e-05 0.771465
10 4.57608e-05 0.771488
10.5 2.77663e-05 0.771502
11 1.68478e-05 0.77151
11.5 1.02228e-05 0.771515
12 6.20287e-06 0.771518
12.5 3.76372e-06 0.77152
13 2.28372e-06 0.771521
13.5 1.38569e-06 0.771522
14 8.40798e-07 0.771523
14.5 5.10172e-07 0.771523
15 3.09557e-07 0.771523
15.5 1.8783e-07 0.771523
16 1.1397e-07 0.771523
16.5 6.91536e-08 0.771523
17 4.19604e-08 0.771523
17.5 2.54604e-08 0.771523
18 1.54486e-08 0.771523
18.5 9.37376e-09 0.771523
19 5.68772e-09 0.771523
19.5 3.45115e-09 0.771523
20 2.09405e-09 0.771523
20.5 1.27061e-09 0.771523
21 7.7097e-10 0.771523
21.5 4.67802e-10 0.771523
22 2.83849e-10 0.771523
22.5 1.72231e-10 0.771523
23 1.04505e-10 0.771523
23.5 6.34104e-11 0.771523
24 3.84756e-11 0.771523
24.5 2.33459e-11 0.771523
25 1.41656e-11 0.771523
25.5 8.59527e-12 0.771523
26 5.21536e-12 0.771523
26.5 3.16453e-12 0.771523
27 1.92014e-12 0.771523
27.5 1.16509e-12 0.771523
28 7.06941e-13 0.771523
28.5 4.28951e-13 0.771523
29 2.60275e-13 0.771523
29.5 1.57927e-13 0.771523
30 9.58256e-14 0.771523
30.5 5.81442e-14 0.771523
31 3.52802e-14 0.771523
31.5 2.1407e-14 0.771523
32 1.29891e-14 0.771523
32.5 7.88143e-15 0.771523
33 4.78222e-15 0.771523
33.5 2.90171e-15 0.771523
34 1.76068e-15 0.771523
34.5 1.06833e-15 0.771523
35 6.48229e-16 0.771523
35.5 3.93327e-16 0.771523
36 2.38659e-16 0.771523
36.5 1.44811e-16 0.771523
37 8.78674e-17 0.771523
37.5 5.33153e-17 0.771523
38 3.23502e-17 0.771523
38.5 1.96292e-17 0.771523
39 1.19104e-17 0.771523
39.5 7.22688e-18 0.771523
40 4.38506e-18 0.771523
40.5 2.66073e-18 0.771523
41 1.61445e-18 0.771523
41.5 9.79602e-19 0.771523
42 5.94394e-19 0.771523
42.5 3.60661e-19 0.771523
43 2.18839e-19 0.771523
43.5 1.32785e-19 0.771523
44 8.057e-20 0.771523
44.5 4.88875e-20 0.771523
45 2.96635e-20 0.771523
45.5 1.7999e-20 0.771523
46 1.09212e-20 0.771523
46.5 6.62669e-21 0.771523
47 4.02088e-21 0.771523
47.5 2.43976e-21 0.771523
48 1.48037e-21 0.771523
48.5 8.98247e-22 0.771523
49 5.4503e-22 0.771523
49.5 3.30708e-22 0.771523
50 2.00664e-22 0.771523
50.5 1.21757e-22 0.771523
51 7.38787e-23 0.771523
51.5 4.48274e-23 0.771523
52 2.72e-23 0.771523
52.5 1.65042e-23 0.771523
53 1.00142e-23 0.771523
53.5 6.07635e-24 0.771523
54 3.68695e-24 0.771523
54.5 2.23713e-24 0.771523
55 1.35743e-24 0.771523
55.5 8.23648e-25 0.771523
56 4.99765e-25 0.771523
56.5 3.03243e-25 0.771523
57 1.83999e-25 0.771523
57.5 1.11645e-25 0.771523
58 6.77431e-26 0.771523
58.5 4.11045e-26 0.771523
59 2.4941e-26 0.771523
59.5 1.51335e-26 0.771523
60 9.18256e-27 0.771523
60.5 5.57171e-27 0.771523
61 3.38075e-27 0.771523
61.5 2.05134e-27 0.771523
62 1.24469e-27 0.771523
62.5 7.55244e-28 0.771523
63 4.5826e-28 0.771523
63.5 2.78059e-28 0.771523
64 1.68718e-28 0.771523
